feature,pearson_r,p_value,Q9UUN9_top_rank,Q9UUN9_bottom_rank
refined,-0.020863207010621495,0.8809685436740988,44,1
solubly_expressed,0.16071142114860412,0.24567682366344507,1,4
1b,-0.1187388262852412,0.4066040986905327,4,48
2b (R),-0.10794234748746605,0.4508738868572281,4,48
2b (S),-0.144226402603541,0.3126200664343199,19,33
ee 2b (%),-0.11354483711188074,0.5430657281146501,8,24
3b (R),0.23384177819436114,0.09862618357441455,18,34
3b (S),-0.05917177474258107,0.6800047138922989,28,1
ee 3b (%),0.18402716374070696,0.19611181673545514,1,31
4b (R),-0.05510219102486601,0.7009452259606251,8,44
4b (S),0.20819043214779095,0.1426384777427876,37,15
ee 4b (%),-0.13762511265733993,0.3355138663328851,12,40
5b (R),-0.04495579983456133,0.7540923520842041,39,1
5b (S),-0.0670700560039333,0.6400500736138548,3,49
ee 5b (%),0.10174732563355453,0.5267343130327957,39,1
sequence_identity,0.09117404069516337,0.512029786769507,3,52
alignment_length,0.09444874715021788,0.5141286853658129,14,35
mismatches,-0.060614804976233165,0.675833457269548,47,4
query_start,-0.04626812458467486,0.7496802290950031,46,5
query_end,0.11704404665070332,0.41823845053648384,18,30
target_start,0.23825081519501098,0.0956803302645523,4,47
target_end,0.12840553557590978,0.37417187135046154,13,38
e_value,-0.0027579841934311324,0.9848341994490244,47,4
bit_score,0.09488471700096882,0.5121795839567982,4,47
rmsd,-0.1708884979598281,0.2166454635940825,52,3
tm_score,0.1614662523829847,0.2434368676242673,4,51
rmsd_bindingsite,-0.20436154674192544,0.13826068457836582,38,17
n_bindingsite_residues,0.0007632897193806267,0.9956293984830363,4,51
n_aligned_residues,0.26240480949726536,0.0552514887201973,5,50
aligned_fraction,0.24714742883375868,0.07158892197532726,9,46
n_res_plddt,0.0469988397837244,0.7357589639839959,16,41
n_res_plddt_bs,0.0007632897193806267,0.9956293984830363,4,51
median_plddt,0.20517359768728433,0.13666711276974125,1,50
median_plddt_bs,0.3230407762110138,0.01719199356974379,1,54
avg_plddt,0.060800508765281834,0.6622993885205705,2,51
avg_plddt_bs,0.28620193359406354,0.035901422311265044,9,46
std_plddt,0.07677500987844102,0.5810900681414766,44,11
std_plddt_bs,-0.29945135529708206,0.02782324713585121,42,13
iqr_plddt,-0.13616408970784002,0.3262146010349992,53,1
iqr_plddt_bs,-0.21299083489197362,0.12202325224397803,38,14
p10_plddt,0.04403984651072015,0.7518458072420675,3,52
p10_plddt_bs,0.23830047275660945,0.08269398036657177,6,48
bindingsite_similarity_score,-0.02991419499366912,0.8299794529684683,7,48
non_equivalent_residues,-0.06791023179943138,0.6256041716291332,6,48
cavity_volume,-0.21531503047250083,0.11790778619127029,7,48
cavity_area,-0.2049728295999551,0.13705981443722598,4,51
cavity_avg_depth,-0.11514886678164604,0.4070299282593245,13,42
cavity_avg_hydropathy,-0.1164752023540639,0.4016111948990605,16,41
cavity_frequency_Alipathic_apolar,-0.15270529705498775,0.270299221748825,22,34
cavity_frequency_Aromatic,-0.09513235296096761,0.4938021839686402,5,46
cavity_frequency_Polar_uncharged,-0.06251211996287992,0.6533888504911818,2,50
cavity_frequency_Negatively_charged,-0.045580681830986396,0.743455359732961,22,1
cavity_frequency_Positively_charged,-0.15700219178186808,0.2568875427036998,35,16
cavity_rmsd,-0.208984949632416,0.12937106221058192,44,12
cavity_n_points,-0.20419175273418236,0.1385956388352405,6,49
num_residues,0.0469988397837244,0.7357589639839959,16,41
num_atoms,-0.05668430307630118,0.6839170237750618,34,22
radius_of_gyration_nm,-0.1796318864517932,0.1936921473840398,50,5
total_sasa_nm2,0.037537621620046084,0.7875568046892745,45,10
avg_sasa_per_residue_nm2,0.013264481121917679,0.9241583553913668,50,5
total_ks_hbond_energy,0.010378584080741994,0.9406251795255258,11,44
helix_percent,-0.30392726782571744,0.02546433319280204,53,2
sheet_percent,-0.07058460091454166,0.6120247348775363,50,5
coil_percent,0.27630459233026716,0.04312819932197304,1,54
num_salt_bridges,-0.168816233117795,0.2223531575388032,25,29
salt_bridges_per_residue,-0.16807359610317177,0.22442383458946172,26,30
num_hydrophobic_contacts,0.0458285042851129,0.7421085980881074,3,52
hydrophobic_contacts_per_residue,0.03266747190900814,0.8145957306782865,4,51
num_pi_pi_stacking,-0.260670954835844,0.05694032252008187,17,35
pi_pi_stacking_per_residue,-0.26584971018318754,0.05201630898393452,22,33
asphericity,-0.15901070905553025,0.2507749717905784,54,1
acylindricity,-0.11553636243351276,0.4054424573447064,41,14
