EGW35479	EGW35479
EGW35479	EGW33294
EGW35479	EGW32291
EGW32862	EGW32862
EGW32862	EGW34746
EGW32862	EGW35041
EGW32253	EGW32253
CCG22283	CCG22283
Q9UUN9	Q9UUN9
PWN99435	PWN99435
ORY53991	ORY53991
KIM80149	KIM80149
PYH81298	PYH81298
ODN75553	ODN75553
KNG79871	KNG79871
KZT58659	KZT58659
GBF63150	GBF63150
GBF63150	OAL74534
ORY92490	ORY92490
KJJ29487	KJJ29487
KIJ46908	KIJ46908
CCC13794	CCC13794
EGW31012	EGW31012
EXU95441	EXU95441
PMD38917	PMD38917
EDK39148	EDK39148
KIY00742	KIY00742
EXF74267	EXF74267
ODN80031	ODN80031
KIW91465	KIW91465
KFA63262	KFA63262
OPB45484	OPB45484
ABN68180	ABN68180
EJS41804	EJS41804
EJS41804	EIW07406
EJS41804	KOH48093
EJS41804	EDO15092
EMG50733	EMG50733
EMG50733	EER34926
EMG50733	EMG50750
EMG50733	EER35045
EMG50559	EMG50559
OIW25712	OIW25712
CCA40817	CCA40817
CCA40817	ANZ74293
EDK43723	EDK43723
EDK41009	EDK41009
EDK41009	EDK41061
KIO03511	KIO03511
POY72851	POY72851
EGW32584	EGW32584
EGW32584	EGW35463
EGW32584	EGW33854
CCH57958	CCH57958
CCH60145	CCH60145
CCH43855	CCH43855
ORY90635	ORY90635
OQO11810	OQO11810
OQO11810	OQO01855
OQO11810	OQO17260
EPQ51678	EPQ51678
KII83927	KII83927
KII83927	KII83904
KYG41666	KYG41666
OTA37140	OTA37140
KZP30036	KZP30036
KZP19288	KZP19288
KZP19288	KZP19295
EEQ37269	EEQ37269
EEQ37269	EEQ38647
CCE41045	CCE41045
CCE41045	EDK47269
CCE41045	CCG25156
EER31342	EER31342
ABN64930	ABN64930
ODV81507	ODV81507
ODV77212	ODV77212
ODV77212	ODV81308
ABN65471	ABN65471
ODV76726	ODV76726
KGT65116	KGT65116
CCE78191	CCE78191
EEQ40618	EEQ40618
EDK39163	EDK39163
ODV69400	ODV69400
KRZ99698	KRZ99698
EGW30505	EGW30505
EGW30505	ABN66052
EGW30505	CCG24478
EGW30505	CCE39733
EGW30505	EDK46659
EMG50243	EMG50243
EER30950	EER30950
EER30950	CAX41255
EER30950	KGT65805
KGT70745	KGT70745
CAX41646	CAX41646
CAX41646	KGT67521
CCE41438	CCE41438
CCE41438	CCE40009
EER35024	EER35024
EER35024	EMG50561
ODV65262	ODV65262
KGT70854	KGT70854
KGT70854	CAX43883
ODV67907	ODV67907
CCE40418	CCE40418
CCE40418	CCG22285
EER35026	EER35026
